[risk_safety] Starting training risk with safety
[risk_safety] epoch 1/20 batch 100/224 loss=0.1438
[risk_safety] epoch 1/20 batch 200/224 loss=0.1494
[risk_safety] epoch 1/20 batch 224/224 loss=0.1192
[risk_safety] epoch 1/20 train_loss=0.1406 val_ap_risk_05s=0.1805 val_ap_risk_1s=0.2126
[risk_safety] New best model saved as best_ep1_risk_safety.pt! Metric: 0.2126
[risk_safety] epoch 2/20 batch 100/224 loss=0.1300
[risk_safety] epoch 2/20 batch 200/224 loss=0.1430
[risk_safety] epoch 2/20 batch 224/224 loss=0.1214
[risk_safety] epoch 2/20 train_loss=0.1402 val_ap_risk_05s=0.1732 val_ap_risk_1s=0.2086
[risk_safety] No improvement for 1 epochs.
[risk_safety] epoch 3/20 batch 100/224 loss=0.1438
[risk_safety] epoch 3/20 batch 200/224 loss=0.1358
[risk_safety] epoch 3/20 batch 224/224 loss=0.1331
[risk_safety] epoch 3/20 train_loss=0.1397 val_ap_risk_05s=0.1976 val_ap_risk_1s=0.2140
[risk_safety] New best model saved as best_ep3_risk_safety.pt! Metric: 0.2140
[risk_safety] epoch 4/20 batch 100/224 loss=0.1646
[risk_safety] epoch 4/20 batch 200/224 loss=0.1507
[risk_safety] epoch 4/20 batch 224/224 loss=0.1529
[risk_safety] epoch 4/20 train_loss=0.1388 val_ap_risk_05s=0.2084 val_ap_risk_1s=0.2329
[risk_safety] New best model saved as best_ep4_risk_safety.pt! Metric: 0.2329
[risk_safety] epoch 5/20 batch 100/224 loss=0.1508
[risk_safety] epoch 5/20 batch 200/224 loss=0.1496
[risk_safety] epoch 5/20 batch 224/224 loss=0.1548
[risk_safety] epoch 5/20 train_loss=0.1398 val_ap_risk_05s=0.2135 val_ap_risk_1s=0.2224
[risk_safety] No improvement for 1 epochs.
[risk_safety] epoch 6/20 batch 100/224 loss=0.1338
[risk_safety] epoch 6/20 batch 200/224 loss=0.1427
[risk_safety] epoch 6/20 batch 224/224 loss=0.1246
[risk_safety] epoch 6/20 train_loss=0.1388 val_ap_risk_05s=0.2151 val_ap_risk_1s=0.2176
[risk_safety] No improvement for 2 epochs.
[risk_safety] epoch 7/20 batch 100/224 loss=0.1401
[risk_safety] epoch 7/20 batch 200/224 loss=0.1286
[risk_safety] epoch 7/20 batch 224/224 loss=0.1185
[risk_safety] epoch 7/20 train_loss=0.1395 val_ap_risk_05s=0.2098 val_ap_risk_1s=0.2608
[risk_safety] New best model saved as best_ep7_risk_safety.pt! Metric: 0.2608
[risk_safety] epoch 8/20 batch 100/224 loss=0.1149
[risk_safety] epoch 8/20 batch 200/224 loss=0.1111
[risk_safety] epoch 8/20 batch 224/224 loss=0.1470
[risk_safety] epoch 8/20 train_loss=0.1401 val_ap_risk_05s=0.2245 val_ap_risk_1s=0.2211
[risk_safety] No improvement for 1 epochs.
[risk_safety] epoch 9/20 batch 100/224 loss=0.1392
[risk_safety] epoch 9/20 batch 200/224 loss=0.1380
[risk_safety] epoch 9/20 batch 224/224 loss=0.1489
[risk_safety] epoch 9/20 train_loss=0.1389 val_ap_risk_05s=0.2255 val_ap_risk_1s=0.2182
[risk_safety] No improvement for 2 epochs.
[risk_safety] epoch 10/20 batch 100/224 loss=0.1313
[risk_safety] epoch 10/20 batch 200/224 loss=0.1474
[risk_safety] epoch 10/20 batch 224/224 loss=0.1481
[risk_safety] epoch 10/20 train_loss=0.1381 val_ap_risk_05s=0.2202 val_ap_risk_1s=0.2164
[risk_safety] No improvement for 3 epochs.
[risk_safety] epoch 11/20 batch 100/224 loss=0.1339
[risk_safety] epoch 11/20 batch 200/224 loss=0.1298
[risk_safety] epoch 11/20 batch 224/224 loss=0.1421
[risk_safety] epoch 11/20 train_loss=0.1398 val_ap_risk_05s=0.2312 val_ap_risk_1s=0.2333
[risk_safety] No improvement for 4 epochs.
[risk_safety] epoch 12/20 batch 100/224 loss=0.1360
[risk_safety] epoch 12/20 batch 200/224 loss=0.1540
[risk_safety] epoch 12/20 batch 224/224 loss=0.1160
[risk_safety] epoch 12/20 train_loss=0.1388 val_ap_risk_05s=0.2254 val_ap_risk_1s=0.2373
[risk_safety] No improvement for 5 epochs.
[risk_safety] Early stopping triggered after 12 epochs!
[risk_safety] Done! Logs and checkpoints saved in runs/compare_baselines/risk_safety
