W0420 16:55:08.444000 201023 torch/distributed/run.py:851] 
W0420 16:55:08.444000 201023 torch/distributed/run.py:851] *****************************************
W0420 16:55:08.444000 201023 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0420 16:55:08.444000 201023 torch/distributed/run.py:851] *****************************************
pybullet build time: Apr 20 2026 14:38:59
pybullet build time: Apr 20 2026 14:38:59
/workspace/Mamba-Predict-Trajactory-with-SAC-Pipeline/.venv-linux-2404/lib/python3.12/site-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
[rank0]:[W420 16:55:11.807096976 ProcessGroupNCCL.cpp:5188] Guessing device ID based on global rank. This can cause a hang if rank to GPU mapping is heterogeneous. You can specify device_id in init_process_group()
[stage_a_single_run] CUDA memory <= 16 GiB: if OOM, try --batch_size 16 and/or higher --gradient_accumulation_steps.
[stage_a_single_run] CUDA memory <= 16 GiB: if OOM, try --batch_size 16 and/or higher --gradient_accumulation_steps.
[MambaTemporal] backend=mamba d_model=256 n_blocks=2
[MambaTemporal] backend=mamba d_model=256 n_blocks=2
[mamba_20260420_165511] temporal backbone ONLY trainable parameters (fair compare): 876544
[mamba_runtime] MambaTemporal backend='mamba' train_device=cuda:0 torch.cuda.is_available()=True
[mamba_20260420_165511] total AdamW trainable parameters: 3037857
/workspace/Mamba-Predict-Trajactory-with-SAC-Pipeline/.venv-linux-2404/lib/python3.12/site-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
[mamba_20260420_165511] epoch 1/30 micro_batch 100/2446 loss=0.6585
[mamba_20260420_165511] epoch 1/30 micro_batch 200/2446 loss=0.1851
[mamba_20260420_165511] epoch 1/30 micro_batch 300/2446 loss=0.2224
[mamba_20260420_165511] epoch 1/30 micro_batch 400/2446 loss=0.3090
[mamba_20260420_165511] epoch 1/30 micro_batch 500/2446 loss=0.1966
[mamba_20260420_165511] epoch 1/30 micro_batch 600/2446 loss=0.3699
[mamba_20260420_165511] epoch 1/30 micro_batch 700/2446 loss=0.1481
[mamba_20260420_165511] epoch 1/30 micro_batch 800/2446 loss=0.4046
[mamba_20260420_165511] epoch 1/30 micro_batch 900/2446 loss=0.6228
[mamba_20260420_165511] epoch 1/30 micro_batch 1000/2446 loss=0.5359
[mamba_20260420_165511] epoch 1/30 micro_batch 1100/2446 loss=0.1930
[mamba_20260420_165511] epoch 1/30 micro_batch 1200/2446 loss=0.3134
[mamba_20260420_165511] epoch 1/30 micro_batch 1300/2446 loss=0.1636
[mamba_20260420_165511] epoch 1/30 micro_batch 1400/2446 loss=0.5054
